President,Date,Approve
Obama,"Jan 16, 2017",59
Obama,"Jan 9, 2017",57
Obama,"Jan 2, 2017",55
Obama,"Dec 26, 2016",55
Obama,"Dec 19, 2016",56
Obama,"Dec 12, 2016",56
Obama,"Dec 5, 2016",57
Obama,"Nov 28, 2016",54
Obama,"Nov 21, 2016",56
Obama,"Nov 14, 2016",56
Obama,"Nov 7, 2016",57
Obama,"Oct 31, 2016",53
Obama,"Oct 24, 2016",54
Obama,"Oct 17, 2016",55
Obama,"Oct 10, 2016",54
Obama,"Oct 3, 2016",52
Obama,"Sep 26, 2016",53
Obama,"Sep 19, 2016",53
Obama,"Sep 12, 2016",52
Obama,"Sep 5, 2016",51
Obama,"Aug 29, 2016",52
Obama,"Aug 22, 2016",51
Obama,"Aug 15, 2016",51
Obama,"Aug 8, 2016",52
Obama,"Aug 1, 2016",52
Obama,"Jul 25, 2016",53
Obama,"Jul 18, 2016",49
Obama,"Jul 11, 2016",49
Obama,"Jul 4, 2016",51
Obama,"Jun 27, 2016",51
Obama,"Jun 20, 2016",50
Obama,"Jun 13, 2016",53
Obama,"Jun 6, 2016",53
Obama,"May 30, 2016",51
Obama,"May 23, 2016",52
Obama,"May 16, 2016",51
Obama,"May 9, 2016",51
Obama,"May 2, 2016",52
Obama,"Apr 25, 2016",51
Obama,"Apr 18, 2016",51
Obama,"Apr 11, 2016",48
Obama,"Apr 4, 2016",51
Obama,"Mar 28, 2016",51
Obama,"Mar 21, 2016",53
Obama,"Mar 14, 2016",50
Obama,"Mar 7, 2016",51
Obama,"Feb 29, 2016",50
Obama,"Feb 22, 2016",48
Obama,"Feb 15, 2016",48
Obama,"Feb 8, 2016",48
Obama,"Feb 1, 2016",47
Obama,"Jan 25, 2016",48
Obama,"Jan 18, 2016",48
Obama,"Jan 11, 2016",48
Obama,"Jan 4, 2016",47
Obama,"Dec 28, 2015",45
Obama,"Dec 21, 2015",48
Obama,"Dec 14, 2015",45
Obama,"Dec 7, 2015",45
Obama,"Nov 30, 2015",47
Obama,"Nov 23, 2015",46
Obama,"Nov 16, 2015",44
Obama,"Nov 9, 2015",49
Obama,"Nov 2, 2015",49
Obama,"Oct 26, 2015",47
Obama,"Oct 19, 2015",46
Obama,"Oct 12, 2015",46
Obama,"Oct 5, 2015",46
Obama,"Sep 28, 2015",47
Obama,"Sep 21, 2015",48
Obama,"Sep 14, 2015",46
Obama,"Sep 7, 2015",46
Obama,"Aug 31, 2015",46
Obama,"Aug 24, 2015",46
Obama,"Aug 17, 2015",44
Obama,"Aug 10, 2015",46
Obama,"Aug 3, 2015",46
Obama,"Jul 27, 2015",46
Obama,"Jul 20, 2015",46
Obama,"Jul 13, 2015",46
Obama,"Jul 6, 2015",46
Obama,"Jun 29, 2015",46
Obama,"Jun 22, 2015",47
Obama,"Jun 15, 2015",45
Obama,"Jun 8, 2015",45
Obama,"Jun 1, 2015",46
Obama,"May 25, 2015",47
Obama,"May 18, 2015",46
Obama,"May 11, 2015",47
Obama,"May 4, 2015",47
