President,Date,% Approve
Trump,Jan 20 2017,45
Trump,Jan 30 2017,43
Trump,Feb 6 2017,41
Trump,Feb 13 2017,40
Trump,Feb 20 2017,42
Trump,Feb 27 2017,43
Trump,Mar 6 2017,42
Trump,Mar 13 2017,40
Trump,Mar 20 2017,39
Trump,Mar 27 2017,38
Trump,Apr 3 2017,40
Trump,Apr 10 2017,40
Trump,Apr 17 2017,41
Trump,Apr 24 2017,41
Trump,May 1 2017,42
Trump,May 8 2017,38
Trump,May 15 2017,38
Trump,May 22 2017,41
Trump,May 29 2017,38
Trump,Jun 5 2017,37
Trump,Jun 12 2017,38
Trump,Jun 19 2017,39
Trump,Jun 25 2017,39
Trump,Jul 3 2017,38
Trump,Jul 10 2017,39
Trump,Jul 17 2017,37
Trump,Jul 24 2017,38
Trump,Jul 31 2017,37
Trump,Aug 7 2017,36
Trump,Aug 14 2017,37
Trump,Aug 21 2017,35
Trump,Aug 28 2017,36
Trump,Sep 4 2017,37
Trump,Sep 11 2017,38
Trump,Sep 18 2017,38
Trump,Sep 25 2017,37
Trump,Oct 2 2017,38
Trump,Oct 9 2017,37
Trump,Oct 16 2017,36
Trump,Oct 23 2017,35
Trump,Oct 30 2017,38
Trump,Nov 6 2017,38
Trump,Nov 13 2017,38
Trump,Nov 20 2017,37
Trump,Nov 27 2017,35
Trump,Dec 4 2017,36
Trump,Dec 11 2017,35
Trump,Dec 18 2017,37
Trump,Dec 25 2017,39
Trump,Jan 1 2018,37
Trump,Jan 8 2018,38
Trump,Jan 15 2018,36
Trump,Jan 22 2018,38
Trump,Jan 29 2018,40
Trump,Feb 5 2018,40
Trump,Feb 12 2018,37
Trump,Feb 19 2018,39
Trump,Feb 26 2018,39
Trump,Mar 5 2018,39
Trump,Mar 12 2018,40
Trump,Mar 19 2018,39
Trump,Mar 26 2018,39
Trump,Apr 2 2018,41
Trump,Apr 9 2018,39
Trump,Apr 16 2018,38
Trump,Apr 23 2018,42
Trump,Apr 30 2018,42
Trump,May 7 2018,43
Trump,May 14 2018,42
Trump,May 21 2018,40
Trump,May 28 2018,41
Trump,Jun 4 2018,42
Trump,Jun 11 2018,45
Trump,Jun 18 2018,41
Trump,Jun 25 2018,42
Trump,Jul 2 2018,41
Trump,Jul 9 2018,43
Trump,Jul 16 2018,42
Trump,Jul 23 2018,40
Trump,Jul 30 2018,41
Trump,Aug 6 2018,39
Trump,Aug 13 2018,42
Trump,Aug 20 2018,41
Trump,Aug 27 2018,41
Trump,Sep 3 2018,40
Trump,Sep 10 2018,38
Trump,Sep 17 2018,40
Trump,Sep 24 2018,42
Trump,Oct 1 2018,43
Trump,Oct 8 2018,44
Trump,Oct 15 2018,44
Trump,Oct 22 2018,40
Trump,Oct 29 2018,40
Trump,Nov 5 2018,38
Trump,Nov 12 2018,43
Trump,Nov 19 2018,38
Trump,Nov 26 2018,40
Trump,Dec 3 2018,40
Trump,Dec 10 2018,38
Trump,Dec 17 2018,39
Trump,Jan 2 2019,37
Trump,Jan 21 2019,37
Trump,Feb 1 2019,44
Trump,Feb 12 2019,43
Trump,Mar 1 2019,39
Trump,Apr 1 2019,45
Trump,Apr 17 2019,46
Trump,May 1 2019,42
Trump,May 15 2019,40
Trump,Jun 3 2019,43
Trump,Jun 19 2019,41
Trump,Jul 1 2019,44
Trump,Jul 15 2019,42
Trump,Aug 1 2019,41
Trump,Aug 15 2019,39
Trump,Sep 3 2019,43
Trump,Sep 16 2019,40
Trump,Oct 1 2019,39
Trump,Oct 14 2019,41
Trump,Nov 1 2019,43
Trump,Dec 2 2019,45
Trump,Jan 2 2020,44
Trump,Jan 16 2020,49
Trump,Feb 3 2020,49
Trump,Feb 17 2020,47
Trump,Mar 2 2020,44
Trump,Mar 13 2020,49
Trump,Apr 1 2020,43
Trump,Apr 14 2020,49
Trump,May 1 2020,49
Trump,May 28 2020,39
Trump,Jun 8 2020,38
Trump,Jul 1 2020,41
Trump,Jul 30 2020,42
Trump,Aug 31 2020,42
Trump,Sep 14 2020,46
Trump,Sep 30 2020,43
Trump,Oct 16 2020,46
Trump,Nov 5 2020,43
Trump,Dec 1 2020,39
Trump,Jan 4 2021,34
