President,Date,Approve,X.1
Nixon,69 Jan 23-28,59,Jan 1969
Nixon,69 Feb 20-25,60,Feb 1969
Nixon,69 Mar 12-17,65,Mar 1969
Nixon,69 Mar 27-Apr 1,63,Mar 1969
Nixon,69 Apr 10-15,61,Apr 1969
Nixon,69 May 1-6,62,May 1969
Nixon,69 May 15-20,65,May 1969
Nixon,69 May 22-27,62,May 1969
Nixon,69 Jun 19-24,63,Jun 1969
Nixon,69 Jul 10-15,58,Jul 1969
Nixon,69 Jul 24-29,65,Jul 1969
Nixon,69 Aug 14-19,62,Aug 1969
Nixon,69 Sep 11-16,60,Sep 1969
Nixon,69 Sep 17-22,58,Sep 1969
Nixon,69 Oct 2-7,57,Oct 1969
Nixon,69 Oct 17-22,56,Oct 1969
Nixon,69 Nov 12-17,67,Nov 1969
Nixon,69 Dec 12-15,59,Dec 1969
Nixon,70 Jan 2-5,61,Jan 1970
Nixon,70 Jan 15-20,63,Jan 1970
Nixon,70 Jan 30-Feb 2,64,Jan 1970
Nixon,70 Feb 27-Mar 2,56,Feb 1970
Nixon,70 Mar 18-25,53,Mar 1970
Nixon,70 Mar 20-25,54,Mar 1970
Nixon,70 Apr 16-21,56,Apr 1970
Nixon,70 Apr 29-May 3,57,Apr 1970
Nixon,70 May 21-26,59,May 1970
Nixon,70 Jun 18-23,55,Jun 1970
Nixon,70 Jul 9-14,61,Jul 1970
Nixon,70 Jul 31-Aug 2,55,Jul 1970
Nixon,70 Aug 25-Sep 1,55,Aug 1970
Nixon,70 Sep 11-14,57,Sep 1970
Nixon,70 Sep 25-28,51,Sep 1970
Nixon,70 Oct 9-14,58,Oct 1970
Nixon,70 Nov 12-17,57,Nov 1970
Nixon,70 Dec 3-8,52,Dec 1970
Nixon,71 Jan 8-11,56,Jan 1971
Nixon,71 Feb 19-22,49,Feb 1971
Nixon,71 Mar 11-14,50,Mar 1971
Nixon,71 Apr 2-5,49,Apr 1971
Nixon,71 Apr 23-26,50,Apr 1971
Nixon,71 May 14-17,50,May 1971
Nixon,71 Jun 4-7,48,Jun 1971
Nixon,71 Jun 25-28,48,Jun 1971
Nixon,71 Jul 15-18,50,Jul 1971
Nixon,71 Aug 27-30,49,Aug 1971
Nixon,71 Oct 8-11,52,Oct 1971
Nixon,71 Oct 29-Nov 2,49,Oct 1971
Nixon,71 Dec 10-13,50,Dec 1971
Nixon,72 Jan 7-10,49,Jan 1972
Nixon,72 Feb 4-7,52,Feb 1972
Nixon,72 Mar 3-5,56,Mar 1972
Nixon,72 Mar 24-27,53,Mar 1972
Nixon,72 Apr 28-May 1,54,Apr 1972
Nixon,72 May 26-29,62,May 1972
Nixon,72 Jun 16-19,59,Jun 1972
Nixon,72 Jun 23-26,56,Jun 1972
Nixon,72 Nov 11-14,62,Nov 1972
Nixon,72 Dec 8-11,59,Dec 1972
Nixon,73 Jan 12-15,51,Jan 1973
Nixon,73 Jan 26-29,67,Jan 1973
Nixon,73 Feb 16-19,65,Feb 1973
Nixon,73 Mar 30-Apr 2,57,Mar 1973
Nixon,73 Apr 6-9,54,Apr 1973
Nixon,73 Apr 27-29,48,Apr 1973
Nixon,73 May 4-7,45,May 1973
Nixon,73 May 11-14,44,May 1973
Nixon,73 Jun 1-4,44,Jun 1973
Nixon,73 Jun 22-25,44,Jun 1973
Nixon,73 Jul 6-9,39,Jul 1973
Nixon,73 Aug 3-6,31,Aug 1973
Nixon,73 Aug 17-20,36,Aug 1973
Nixon,73 Sep 7-10,34,Sep 1973
Nixon,73 Sep 21-24,33,Sep 1973
Nixon,73 Oct 5-8,30,Oct 1973
Nixon,73 Oct 19-22,27,Oct 1973
Nixon,73 Nov 2-5,27,Nov 1973
Nixon,73 Nov 30-Dec 3,31,Nov 1973
Nixon,73 Dec 7-10,29,Dec 1973
Nixon,74 Jan 4-7,27,Jan 1974
Nixon,74 Jan 18-21,26,Jan 1974
Nixon,74 Feb 1-4,28,Feb 1974
Nixon,74 Feb 8-11,27,Feb 1974
Nixon,74 Feb 22-25,25,Feb 1974
Nixon,74 Mar 8-11,26,Mar 1974
Nixon,74 Mar 29-Apr 1,26,Mar 1974
Nixon,74 Apr 12-15,25,Apr 1974
Nixon,74 Apr 19-22,26,Apr 1974
Nixon,74 May 3-6,25,May 1974
Nixon,74 May 10-13,25,May 1974
Nixon,74 May 17-20,26,May 1974
Nixon,74 May 31-Jun 3,28,May 1974
Nixon,74 Jun 21-24,26,Jun 1974
Nixon,74 Jun 28-Jul 1,28,Jun 1974
Nixon,74 Jul 12-15,24,Jul 1974
Nixon,74 Aug 2-5,24,Aug 1974
