President,Date,Approval
Truman,1945-06-01,87
Truman,1945-10-05,82
Truman,1945-11-02,75
Truman,1946-01-05,63
Truman,1946-02-28,49
Truman,1946-03-29,51
Truman,1946-06-01,45
Truman,1946-06-14,43
Truman,1946-09-13,33
Truman,1946-11-15,34
Truman,1946-12-13,35
Truman,1947-01-17,48
Truman,1947-03-14,60
Truman,1947-03-28,63
Truman,1947-04-25,57
Truman,1947-05-23,65
Truman,1947-06-20,55
Truman,1947-07-04,61
Truman,1947-09-12,55
Truman,1947-11-28,54
Truman,1948-01-02,53
Truman,1948-04-09,36
Truman,1948-05-28,39
Truman,1948-06-18,40
Truman,1949-01-07,69
Truman,1949-03-06,57
Truman,1949-05-02,51
Truman,1949-06-11,57
Truman,1949-09-03,45
Truman,1949-09-25,51
Truman,1949-09-28,50
Truman,1950-01-08,45
Truman,1950-02-26,37
Truman,1950-05-04,41
Truman,1950-06-04,37
Truman,1950-07-09,46
Truman,1950-07-30,39
Truman,1950-08-20,43
Truman,1950-09-17,35
Truman,1950-10-01,35
Truman,1950-10-08,43
Truman,1950-10-20,41
Truman,1950-10-22,39
Truman,1950-12-03,33
Truman,1951-01-01,36
Truman,1951-02-04,26
Truman,1951-03-04,27
Truman,1951-03-26,28
Truman,1951-04-16,24
Truman,1951-05-19,24
Truman,1951-06-16,25
Truman,1951-07-08,29
Truman,1951-08-03,31
Truman,1951-09-21,32
Truman,1951-10-14,29
Truman,1951-11-11,23
Truman,1952-01-06,23
Truman,1952-01-20,25
Truman,1952-02-09,22
Truman,1952-04-13,28
Truman,1952-05-11,27
Truman,1952-05-30,31
Truman,1952-06-15,32
Truman,1952-07-13,29
Truman,1952-10-03,33
Truman,1952-10-05,31
Truman,1952-10-09,32
Truman,1952-12-11,32
Eisenhower,1953-02-01,68
Eisenhower,1953-02-22,67
Eisenhower,1953-03-28,74
Eisenhower,1953-04-19,73
Eisenhower,1953-05-09,74
Eisenhower,1953-07-04,69
Eisenhower,1953-07-25,73
Eisenhower,1953-08-15,74
Eisenhower,1953-09-12,61
Eisenhower,1953-10-09,65
Eisenhower,1953-11-01,61
Eisenhower,1953-11-19,59
Eisenhower,1953-12-11,69
Eisenhower,1954-01-09,71
Eisenhower,1954-01-28,70
Eisenhower,1954-02-25,67
Eisenhower,1954-03-19,66
Eisenhower,1954-04-08,68
Eisenhower,1954-05-02,60
Eisenhower,1954-05-21,61
Eisenhower,1954-06-12,62
Eisenhower,1954-07-02,65
Eisenhower,1954-07-16,75
Eisenhower,1954-08-05,67
Eisenhower,1954-08-26,63
Eisenhower,1954-09-16,66
Eisenhower,1954-10-15,61
Eisenhower,1954-11-11,57
Eisenhower,1954-12-02,69
Eisenhower,1954-12-31,70
Eisenhower,1955-01-20,70
Eisenhower,1955-02-10,73
Eisenhower,1955-03-03,71
Eisenhower,1955-03-24,66
Eisenhower,1955-04-14,70
Eisenhower,1955-05-12,68
Eisenhower,1955-06-03,70
Eisenhower,1955-06-24,67
Eisenhower,1955-07-14,72
Eisenhower,1955-08-04,76
Eisenhower,1955-08-25,71
Eisenhower,1955-09-15,71
Eisenhower,1955-11-17,78
Eisenhower,1955-12-08,75
Eisenhower,1956-01-06,76
Eisenhower,1956-01-26,77
Eisenhower,1956-02-16,75
Eisenhower,1956-03-08,72
Eisenhower,1956-03-29,73
Eisenhower,1956-04-19,69
Eisenhower,1956-05-10,69
Eisenhower,1956-05-31,71
Eisenhower,1956-06-15,73
Eisenhower,1956-07-12,70
Eisenhower,1956-08-03,68
Eisenhower,1956-11-22,75
